 ,Probe_2_Peak_1_fraction,Probe_2_Peak_1_skew,Probe_2_Peak_1_position,Probe_2_Peak_1_intensity,Probe_2_Peak_1_fwhm,Probe_2_Peak_2_fraction,Probe_2_Peak_2_skew,Probe_2_Peak_2_position,Probe_2_Peak_2_intensity,Probe_2_Peak_2_fwhm,Probe_2_Peak_3_fraction,Probe_2_Peak_3_skew,Probe_2_Peak_3_position,Probe_2_Peak_3_intensity,Probe_2_Peak_3_fwhm,Probe_2_Peak_4_fraction,Probe_2_Peak_4_skew,Probe_2_Peak_4_position,Probe_2_Peak_4_intensity,Probe_2_Peak_4_fwhm,Probe_2_Peak_5_fraction,Probe_2_Peak_5_skew,Probe_2_Peak_5_position,Probe_2_Peak_5_intensity,Probe_2_Peak_5_fwhm,Probe_6_Peak_1_fraction,Probe_6_Peak_1_skew,Probe_6_Peak_1_position,Probe_6_Peak_1_intensity,Probe_6_Peak_1_fwhm,Probe_6_Peak_2_fraction,Probe_6_Peak_2_skew,Probe_6_Peak_2_position,Probe_6_Peak_2_intensity,Probe_6_Peak_2_fwhm,Probe_6_Peak_3_fraction,Probe_6_Peak_3_skew,Probe_6_Peak_3_position,Probe_6_Peak_3_intensity,Probe_6_Peak_3_fwhm,Probe_6_Peak_4_fraction,Probe_6_Peak_4_skew,Probe_6_Peak_4_position,Probe_6_Peak_4_intensity,Probe_6_Peak_4_fwhm
SC-05Jul21-001-1__SIN__None__20210716__195359__zolix-20025,0.02173462,-1.58355522,493.13219532,0.41367230,19.64512690,0.08643665,1.44969731,1067.85690626,0.97015842,16.16041849,0.00000000,-1.82796522,1179.48116121,0.10009470,13.43864619,0.61292613,-1.65097205,1467.72251309,0.05969890,12.03896577,0.00000000,1.48283116,1559.16081025,0.46822605,21.51901595,0.41298613,-0.00168385,521.19936637,0.17297995,23.19205342,0.43764793,-0.61458000,1076.58746886,0.71934118,18.92082670,0.84457836,-0.83355273,1424.01094800,0.18325721,32.87278503,0.39454987,-0.01511445,1583.55312267,1.00313617,16.80871483
SC-02Jul21-001-8__SIN__None__20210716__195122__zolix-20025,0.04088786,-1.66572386,493.23144105,0.40705050,19.06182081,0.06676569,1.63988914,1068.10533289,0.96840800,15.68951871,0.00000000,-1.86921971,1179.33292156,0.10234453,12.91727695,0.79274881,-1.41078156,1467.72251309,0.06092751,11.65410733,0.00000000,1.38214923,1559.50806118,0.46106457,21.10613782,0.40642377,-0.00651772,521.09979633,0.16825546,22.89637413,0.44328557,-0.60702988,1076.38819697,0.71769182,18.44324514,0.78656860,-0.84886740,1424.95645683,0.18985447,31.95006834,0.41119117,-0.00414897,1583.55312267,1.00152984,16.57053287
SC-02Jul21-001-5__SIN__None__20210716__194144__zolix-20025,0.03718839,-1.65828467,493.28106391,0.40509224,19.19989792,0.06561711,1.53690865,1068.10533289,0.97105954,15.82749993,0.00000000,-1.94608588,1179.38233477,0.10238724,12.98739689,0.71550566,-1.38022934,1467.67306574,0.06038744,11.59391480,0.00000000,1.36609379,1559.45845391,0.46479788,21.22837944,0.40370295,-0.02039320,520.90065626,0.17475054,22.70282326,0.43467581,-0.63911043,1076.63728684,0.72500070,18.42199975,0.07748334,-3.62349790,1424.25976611,0.18165489,36.92793664,0.40077006,0.00092344,1583.50335904,1.00211007,16.70006333
SC-02Jul21-001-6__SIN__None__20210716__194642__zolix-20025,0.04069499,-1.62733620,493.18181818,0.40581974,19.08668470,0.07889665,1.62092202,1067.95627691,0.96869708,15.62698692,0.00000000,-1.87828685,1179.33292156,0.10184074,12.91003626,0.68498366,-1.20218175,1467.57417103,0.06107957,11.35139164,0.00000000,1.43694508,1559.35923936,0.45816952,21.14811217,0.41268308,-0.00474761,521.00022630,0.17046035,22.85645638,0.44366588,-0.60265725,1076.48783292,0.72015285,18.38689101,0.79379086,-0.85568236,1424.95645683,0.19039459,31.64366459,0.41138461,-0.00478395,1583.55312267,1.00123234,16.57381593
SC-05Jul21-001-2__SIN__None__20210716__195615__zolix-20025,0.04045595,-1.51886639,493.08257245,0.40380582,19.15900946,0.06793433,1.75164492,1067.60847963,0.96870508,15.59148787,0.00000000,-1.86261686,1179.38233477,0.10120594,12.86808922,0.63810461,-1.22186738,1467.52472368,0.06101019,11.24772661,0.00000000,1.58991493,1558.96238115,0.45857965,21.15713214,0.40203785,-0.02334098,520.55216112,0.18053239,22.41295765,0.46536084,-0.57441639,1076.33837900,0.73698151,18.21408236,0.05949500,-3.47655296,1421.82134859,0.16870503,39.42044651,0.41249707,0.00074558,1583.15501368,1.00212879,16.37356953
SC-02Jul21-001-7__SIN__None__20210716__194904__zolix-20025,0.03884039,-1.62178728,493.23144105,0.41144082,19.21930897,0.08248991,1.50815973,1068.00596224,0.97069890,15.68312001,0.00000000,-1.92231669,1179.33292156,0.10087674,13.02242035,0.64786240,-1.38425879,1467.52472368,0.05974649,11.49317109,0.00000000,1.40986532,1559.35923936,0.45482648,21.21533812,0.40077761,-0.01785604,520.80108622,0.17908131,22.74700025,0.43858221,-0.65793534,1076.63728684,0.73132968,18.49770649,0.10172268,-3.64851737,1424.35929336,0.18450503,36.03788743,0.40010252,-0.00455126,1583.50335904,1.00197447,16.74579302
SC-02Jul21-001-3__SIN__None__20210716__193703__zolix-20025,0.03257075,-1.62517984,493.18181818,0.40421548,19.30588132,0.07946325,1.52012010,1068.00596224,0.96990840,15.88000151,0.00000000,-1.91310037,1179.38233477,0.10080928,13.18846718,0.69242954,-1.53327484,1467.72251309,0.06074007,11.68098076,0.00000000,1.38750696,1559.35923936,0.46797791,21.28682464,0.41618668,0.00325912,521.44829147,0.16708120,23.29519515,0.43716253,-0.62018024,1076.48783292,0.71137477,18.74968328,0.91949296,-0.66063337,1427.44463797,0.20386896,28.28790395,0.41219931,-0.01348976,1583.85170440,1.00327132,16.68817899
SC-02Jul21-001-1__SIN__None__20210716__193155__zolix-20025,0.05146929,-1.62652873,493.23144105,0.40840695,18.72786942,0.07617706,1.87614407,1067.90659159,0.96698880,15.37373632,0.00000000,-1.84131208,1179.28350834,0.10414809,12.51312762,0.75621365,-1.31894941,1467.67306574,0.06118026,11.06904593,0.00000000,1.49619325,1559.35923936,0.45352372,20.96723368,0.41451931,-0.00456316,521.00022630,0.16866963,22.49913755,0.45984047,-0.55518583,1076.33837900,0.71773288,17.90912791,0.83532156,-0.80499308,1425.45409306,0.19047272,30.45226288,0.44156045,-0.00308512,1583.45359542,1.00088150,16.03082608
SC-02Jul21-001-2__SIN__None__20210716__193433__zolix-20025,0.04367595,-1.61804815,493.13219532,0.40750220,19.02086782,0.07788922,1.65864091,1067.95627691,0.96874269,15.58885552,0.00000000,-1.89517567,1179.28350834,0.10176033,12.82921572,0.70156825,-1.39375708,1467.62361838,0.06104452,11.31518791,0.00000000,1.41392302,1559.35923936,0.45712512,21.14328755,0.39969204,-0.00958951,521.09979633,0.16665190,23.10733340,0.44186479,-0.64545186,1076.38819697,0.71155435,18.64757762,0.86646985,-0.76107973,1426.10102015,0.19806621,29.83024045,0.40119987,-0.00682151,1583.55312267,1.00232843,16.72099391
None__00121007019-00133-blank__SIN__BVH__20210831__090243__zolix-21047,0.09285214,-1.48282000,495.56371576,0.37298125,17.53919512,0.07715574,2.71623873,1068.75124213,0.95727216,13.71579597,0.05861533,-1.61030249,1180.56825201,0.10746653,10.68316718,0.44751250,-0.66616421,1468.51367074,0.06498355,8.55131707,0.00000000,1.98446367,1560.30177759,0.43225638,19.75458720,0.20884124,0.12976142,523.34012220,0.11881300,20.94774473,0.43419263,-0.50645518,1078.03219007,0.65112945,16.15607743,0.26904602,-3.18133755,1427.94227420,0.18072211,27.71626783,0.44795459,-0.00910841,1584.89674048,0.99293453,13.84883907
